credit_risk_30;;;;;;;;;
loan_status;person_income;person_home_ownership;person_emp_length;loan_intent;loan_grade;loan_amnt;loan_int_rate;loan_percent_income;cb_person_default_on_file
0 1;continuous;MORTGAGE OTHER OWN RENT;continuous;DEBTCONSOLIDATION EDUCATION HOMEIMPROVEMENT MEDICAL PERSONAL VENTURE;A B C D E F G;continuous;continuous;continuous;N Y
class;;;;;;;;;
0;240000;RENT;7.0;PERSONAL;A;18000;7.88;0.07;N
0;80000;RENT;0.0;MEDICAL;A;8900;6.17;0.11;N
0;115000;MORTGAGE;4.0;VENTURE;A;20000;6.91;0.17;N
0;62500;RENT;4.0;EDUCATION;B;14000;10.25;0.22;N
1;60000;RENT;3.0;VENTURE;C;22000;14.26;0.37;Y
1;24996;RENT;6.0;MEDICAL;A;8000;7.51;0.32;N
0;37440;RENT;1.0;EDUCATION;C;3200;13.04;0.09;Y
0;80000;MORTGAGE;6.0;EDUCATION;B;16000;11.99;0.20;N
0;49304;MORTGAGE;2.0;MEDICAL;C;10000;11.78;0.20;N
0;156000;MORTGAGE;2.0;DEBTCONSOLIDATION;B;15000;11.89;0.10;N
0;22300;OWN;1.0;PERSONAL;C;3775;15.27;0.17;N
0;80004;MORTGAGE;5.0;MEDICAL;A;12000;6.91;0.15;N
0;80000;MORTGAGE;7.0;VENTURE;C;4000;15.23;0.05;N
0;66000;OWN;6.0;DEBTCONSOLIDATION;D;7500;17.58;0.11;Y
0;65000;MORTGAGE;2.0;MEDICAL;B;10000;10.75;0.15;N
0;70000;RENT;4.0;EDUCATION;A;7550;7.51;0.11;N
0;48000;MORTGAGE;9.0;EDUCATION;A;3000;7.40;0.06;N
0;33600;MORTGAGE;1.0;MEDICAL;B;15250;12.53;0.45;N
0;92000;MORTGAGE;11.0;EDUCATION;F;25000;19.29;0.27;Y
0;35000;RENT;3.0;MEDICAL;B;10000;9.88;0.29;N
0;70000;MORTGAGE;5.0;VENTURE;B;21000;8.88;0.30;N
