credit_risk_70;;;;;;;;;
loan_status;person_income;person_home_ownership;person_emp_length;loan_intent;loan_grade;loan_amnt;loan_int_rate;loan_percent_income;cb_person_default_on_file
0 1;continuous;MORTGAGE OTHER OWN RENT;continuous;DEBTCONSOLIDATION EDUCATION HOMEIMPROVEMENT MEDICAL PERSONAL VENTURE;A B C D E F G;continuous;continuous;continuous;N Y
class;;;;;;;;;
0;85000;OWN;1.0;VENTURE;A;5000;7.43;0.06;N
0;72000;RENT;7.0;PERSONAL;A;3000;7.43;0.04;N
0;72800;RENT;12.0;HOMEIMPROVEMENT;B;9425;11.49;0.13;N
1;10000;OWN;2.0;HOMEIMPROVEMENT;A;4500;8.63;0.45;N
0;36000;OWN;4.0;MEDICAL;C;1050;14.72;0.03;Y
1;23421;RENT;3.0;MEDICAL;E;4500;17.99;0.19;Y
0;69996;RENT;9.0;DEBTCONSOLIDATION;B;11000;11.86;0.16;N
0;37920;RENT;4.0;DEBTCONSOLIDATION;A;6000;6.99;0.16;N
1;21500;RENT;2.0;MEDICAL;C;7500;11.34;0.35;N
0;48000;RENT;7.0;PERSONAL;C;7200;14.27;0.15;Y
0;78000;RENT;7.0;DEBTCONSOLIDATION;A;10000;5.79;0.13;N
0;140000;MORTGAGE;12.0;MEDICAL;B;15000;8.88;0.11;N
1;67746;RENT;8.0;HOMEIMPROVEMENT;C;33000;12.68;0.49;N
0;85000;MORTGAGE;9.0;DEBTCONSOLIDATION;A;21000;7.49;0.25;N
0;52000;RENT;3.0;EDUCATION;B;10000;12.42;0.19;N
0;32640;RENT;7.0;VENTURE;B;3000;10.75;0.09;N
1;21600;RENT;2.0;MEDICAL;D;6000;14.42;0.28;N
0;35000;OWN;6.0;VENTURE;C;5000;14.27;0.14;Y
0;67500;MORTGAGE;0.0;DEBTCONSOLIDATION;A;1000;7.40;0.01;N
0;108000;MORTGAGE;6.0;MEDICAL;A;10000;6.54;0.09;N
0;78000;MORTGAGE;8.0;VENTURE;A;6250;6.76;0.08;N
